ThangCB,NamCB,Địa bàn,Ca bệnh,Ca tháng trước,Ca trung bình,DI_Index,BI_Index,MD_DS,NDTB,DATB,LMTB,Tình trạng
1,2006,1,72,75,65.1,0.13,20,2117,25.9,78,55.1,An toàn
1,2006,2,81,84,75.3,0.3,27,5075,25.9,78,55.1,Nguy cơ dịch
1,2006,3,26,29,18.3,0.12,25,6143,25.9,78,55.1,An toàn
1,2006,4,9,12,17.4,0,7,578,25.9,78,55.1,An toàn
1,2006,5,30,33,22.4,0.2,30,425,25.9,78,55.1,An toàn
1,2006,6,10,13,4.8,0.17,10,162,25.9,78,55.1,An toàn
1,2006,7,4,7,2.3,0.11,22,135,25.9,78,55.1,An toàn
1,2006,8,3,6,3.2,0.23,25,132,25.9,78,55.1,An toàn
1,2006,9,0,3,8.3,0.3,32,197,25.9,78,55.1,An toàn
2,2006,1,43,46,65.1,0.1,30,2117,26.4,79,70.5,An toàn
2,2006,2,45,48,75.3,0.13,23,5075,26.4,79,70.5,An toàn
2,2006,3,10,13,18.3,0.15,23,6143,26.4,79,70.5,An toàn
2,2006,4,8,11,17.4,0.05,20,578,26.4,79,70.5,An toàn
2,2006,5,17,20,22.4,0.23,35,425,26.4,79,70.5,An toàn
2,2006,6,4,7,4.8,0.18,33,162,26.4,79,70.5,An toàn
2,2006,7,2,5,2.3,0.16,15,135,26.4,79,70.5,An toàn
2,2006,8,4,7,3.2,0.2,10,132,26.4,79,70.5,An toàn
2,2006,9,1,4,8.3,0.12,17,197,26.4,79,70.5,An toàn
3,2006,1,32,35,65.1,0.14,17,2117,27.7,75,101.9,An toàn
3,2006,2,48,51,75.3,0.2,13,5075,27.7,75,101.9,An toàn
3,2006,3,10,13,18.3,0.23,32,6143,27.7,75,101.9,An toàn
3,2006,4,2,5,17.4,0.12,18,578,27.7,75,101.9,An toàn
3,2006,5,6,9,22.4,0.3,40,425,27.7,75,101.9,An toàn
3,2006,6,4,7,4.8,0.22,16,162,27.7,75,101.9,An toàn
3,2006,7,2,5,2.3,0.07,20,135,27.7,75,101.9,An toàn
3,2006,8,0,3,3.2,0.13,9,132,27.7,75,101.9,An toàn
3,2006,9,4,7,8.3,0.11,15,197,27.7,75,101.9,An toàn
4,2006,1,41,44,65.1,0.09,27,2117,28,81,219.5,An toàn
4,2006,2,20,23,75.3,0.23,40,5075,28,81,219.5,An toàn
4,2006,3,8,11,18.3,0.2,23,6143,28,81,219.5,An toàn
4,2006,4,0,3,17.4,0.13,23,578,28,81,219.5,An toàn
4,2006,5,5,8,22.4,0.33,25,425,28,81,219.5,An toàn
4,2006,6,3,6,4.8,0.26,12,162,28,81,219.5,An toàn
4,2006,7,2,5,2.3,0.14,18,135,28,81,219.5,An toàn
4,2006,8,1,4,3.2,0.2,10,132,28,81,219.5,An toàn
4,2006,9,3,6,8.3,0.17,30,197,28,81,219.5,An toàn
5,2006,1,69,72,65.1,0.13,35,2117,28,83,202.2,An toàn
5,2006,2,44,47,75.3,0.2,36.6,5075,28,83,202.2,An toàn
5,2006,3,13,16,18.3,0.23,27,6143,28,83,202.2,An toàn
5,2006,4,4,7,17.4,0.1,30,578,28,83,202.2,An toàn
5,2006,5,9,12,22.4,0.3,46,425,28,83,202.2,An toàn
5,2006,6,4,7,4.8,0.2,20,162,28,83,202.2,An toàn
5,2006,7,0,3,2.3,0.16,36,135,28,83,202.2,An toàn
5,2006,8,2,5,3.2,0.09,15,132,28,83,202.2,An toàn
5,2006,9,4,7,8.3,0.2,33,197,28,83,202.2,An toàn
6,2006,1,145,148,65.1,0.3,42,2117,27.6,85,191.5,Nguy cơ dịch
6,2006,2,108,111,75.3,0.23,37,5075,27.6,85,191.5,Nguy cơ dịch
6,2006,3,25,28,18.3,0.33,30,6143,27.6,85,191.5,An toàn
6,2006,4,29,32,17.4,0.18,33,578,27.6,85,191.5,An toàn
6,2006,5,23,26,22.4,0.2,34,425,27.6,85,191.5,An toàn
6,2006,6,3,6,4.8,0.12,27,162,27.6,85,191.5,An toàn
6,2006,7,3,6,2.3,0.11,30,135,27.6,85,191.5,An toàn
6,2006,8,2,5,3.2,0.05,23,132,27.6,85,191.5,An toàn
6,2006,9,16,19,8.3,0.08,32,197,27.6,85,191.5,An toàn
7,2006,1,150,153,65.1,0.3,56,2117,27.1,85,317,Nguy cơ dịch
7,2006,2,159,162,75.3,0.13,27,5075,27.1,85,317,An toàn
7,2006,3,52,55,18.3,0.1,25,6143,27.1,85,317,An toàn
7,2006,4,38,41,17.4,0.23,30,578,27.1,85,317,An toàn
7,2006,5,43,46,22.4,0.2,35,425,27.1,85,317,An toàn
7,2006,6,4,7,4.8,0.15,30,162,27.1,85,317,An toàn
7,2006,7,4,7,2.3,0.12,23,135,27.1,85,317,An toàn
7,2006,8,10,13,3.2,0.2,32,132,27.1,85,317,An toàn
7,2006,9,11,14,8.3,0.4,42,197,27.1,85,317,An toàn
8,2006,1,108,111,65.1,0.3,35,2117,27.8,84,116.7,Nguy cơ dịch
8,2006,2,152,155,75.3,0.1,13,5075,27.8,84,116.7,An toàn
8,2006,3,16,19,18.3,0.09,30,6143,27.8,84,116.7,An toàn
8,2006,4,45,48,17.4,0.13,23,578,27.8,84,116.7,An toàn
8,2006,5,45,48,22.4,0.23,32,425,27.8,84,116.7,An toàn
8,2006,6,12,15,4.8,0.1,35,162,27.8,84,116.7,An toàn
8,2006,7,1,4,2.3,0.07,13,135,27.8,84,116.7,An toàn
8,2006,8,4,7,3.2,0.1,20,132,27.8,84,116.7,An toàn
8,2006,9,29,32,8.3,0.33,42,197,27.8,84,116.7,An toàn
9,2006,1,62,65,65.1,0.23,30,2117,26.4,89,449.8,An toàn
9,2006,2,126,129,75.3,0.3,67,5075,26.4,89,449.8,Nguy cơ dịch
9,2006,3,20,23,18.3,0.12,24,6143,26.4,89,449.8,An toàn
9,2006,4,46,49,17.4,0.1,23,578,26.4,89,449.8,An toàn
9,2006,5,42,45,22.4,0.17,30,425,26.4,89,449.8,An toàn
9,2006,6,5,8,4.8,0.09,33,162,26.4,89,449.8,An toàn
9,2006,7,4,7,2.3,0.07,32,135,26.4,89,449.8,An toàn
9,2006,8,6,9,3.2,0.11,20,132,26.4,89,449.8,An toàn
9,2006,9,19,22,8.3,0.2,35,197,26.4,89,449.8,An toàn
10,2006,1,18,21,65.1,0.23,37,2117,27.1,84,115.5,An toàn
10,2006,2,57,60,75.3,0.17,40,5075,27.1,84,115.5,An toàn
10,2006,3,18,21,18.3,0.23,30,6143,27.1,84,115.5,An toàn
10,2006,4,12,15,17.4,0.12,23,578,27.1,84,115.5,An toàn
10,2006,5,15,18,22.4,0.3,39,425,27.1,84,115.5,An toàn
10,2006,6,1,4,4.8,0.1,22,162,27.1,84,115.5,An toàn
10,2006,7,1,4,2.3,0.05,10,135,27.1,84,115.5,An toàn
10,2006,8,2,5,3.2,0.03,9,132,27.1,84,115.5,An toàn
10,2006,9,7,10,8.3,0.13,24,197,27.1,84,115.5,An toàn
11,2006,1,23,26,65.1,0.22,33,2117,27.1,84,114.7,An toàn
11,2006,2,33,36,75.3,0.13,37,5075,27.1,84,114.7,An toàn
11,2006,3,11,14,18.3,0.1,25,6143,27.1,84,114.7,An toàn
11,2006,4,6,9,17.4,0.13,20,578,27.1,84,114.7,An toàn
